id,text_raw,text_model,text_lexical,text_eda_no_stopwords,category,subcategory,severity_of_hate,target_of_hate,type_of_hate,type_of_hate_id,split,char_count_raw,char_count_model,token_count,unique_token_count,lexical_diversity,average_token_length,max_token_length,short_token_count,long_token_count,bangla_stopword_count,bangla_stopword_ratio,bangla_char_count,latin_char_count,digit_count,whitespace_count,punctuation_count,emoji_count,bangla_char_ratio,latin_char_ratio,digit_ratio,punctuation_ratio,code_mixed_flag,url_count,email_count,mention_count,hashtag_count,exclamation_count,question_count,bangla_danda_count,newline_count,repeated_punctuation_count,repeated_character_count,placeholder_count,all_caps_latin_token_count,log_char_count,log_token_count,category_train_frequency,subcategory_train_frequency
849172,অতিরিক্ত এ নিজেকে বাদুর বানাইয়া ফেলছেন রে,অতিরিক্ত এ নিজেকে বাদুর বানাইয়া ফেলছেন রে,অতিরিক্ত এ নিজেকে বাদুর বানাইয়া ফেলছেন রে,অতিরিক্ত নিজেকে বাদুর বানাইয়া ফেলছেন রে,Miscellaneous,Youtube Shorts,Little to None,Individual,Abusive,1,train,41.0,42.0,7.0,7.0,1.0,5.142857142857143,8.0,2.0,2.0,1.0,0.14285714285714285,35.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7376696182833684,2.0794415416798357,0.07836587872559096,0.028841212744090444
477288,এটার বিচার কে করবেযে বিচার করবে সেই তো হলো এই সমস্ত চোরদের গড ফাদার,এটার বিচার কে করবেযে বিচার করবে সেই তো হলো এই সমস্ত চোরদের গড ফাদার,এটার বিচার কে করবেযে বিচার করবে সেই তো হলো এই সমস্ত চোরদের গড ফাদার,এটার বিচার করবেযে বিচার করবে হলো সমস্ত চোরদের গড ফাদার,National,বাংলার সময়,Severe,Individual,Abusive,1,train,67.0,67.0,14.0,13.0,0.9285714285714286,3.857142857142857,6.0,4.0,0.0,4.0,0.2857142857142857,54.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.219507705176107,2.70805020110221,0.32252055498458376,0.10495889003083247
786609,ইরান পারমাণবিক বোমা বানাবে বানাবে বলতে বলতে বিয়া করার বয়স হই গেছে বোমা আর বানানো হলো না,ইরান পারমাণবিক বোমা বানাবে বানাবে বলতে বলতে বিয়া করার বয়স হই গেছে বোমা আর বানানো হলো না,ইরান পারমাণবিক বোমা বানাবে বানাবে বলতে বলতে বিয়া করার বয়স হই গেছে বোমা আর বানানো হলো না,ইরান পারমাণবিক বোমা বানাবে বানাবে বলতে বলতে বিয়া করার বয়স হই গেছে বোমা বানানো হলো,International,Somoy International News,Little to None,Society,Abusive,1,train,87.0,89.0,17.0,14.0,0.8235294117647058,4.294117647058823,9.0,3.0,1.0,2.0,0.11764705882352941,71.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.477336814478207,2.8903717578961645,0.21948869475847893,0.08716598150051387
124917,মুসলিম বাচ্চাগুলো বাচ্চা পেরে পেরে গোটা পৃথিবীর ধ্বংস করে দেবে শালা শুয়োরের বাচ্চা গুলো,মুসলিম বাচ্চাগুলো বাচ্চা পেরে পেরে গোটা পৃথিবীর ধ্বংস করে দেবে শালা শুয়োরের বাচ্চা গুলো,মুসলিম বাচ্চাগুলো বাচ্চা পেরে পেরে গোটা পৃথিবীর ধ্বংস করে দেবে শালা শুয়োরের বাচ্চা গুলো,মুসলিম বাচ্চাগুলো বাচ্চা পেরে পেরে গোটা পৃথিবীর ধ্বংস দেবে শালা শুয়োরের বাচ্চা,National,বাংলার সময়,Severe,Community,Profane,5,train,88.0,88.0,14.0,12.0,0.8571428571428571,5.357142857142857,10.0,0.0,2.0,2.0,0.14285714285714285,75.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48863636973214,2.70805020110221,0.32252055498458376,0.10495889003083247
432369,বাড়ি বাল ফালায়ছে,বাড়ি বাল ফালায়ছে,বাড়ি বাল ফালায়ছে,বাড়ি বাল ফালায়ছে,International,আন্তর্জাতিক সময়,Mild,Individual,Profane,5,train,16.0,18.0,3.0,3.0,1.0,5.333333333333333,8.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.833213344056216,1.3862943611198906,0.21948869475847893,0.1224306269270298
692666,কুততার বাচচাদের ধরে নস কেন,কুততার বাচচাদের ধরে নস কেন,কুততার বাচচাদের ধরে নস কেন,কুততার বাচচাদের ধরে নস,National,বাংলার সময় (Banglar Somoy),Severe,Individual,Abusive,1,train,26.0,26.0,5.0,5.0,1.0,4.4,8.0,1.0,1.0,1.0,0.2,22.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.295836866004329,1.791759469228055,0.32252055498458376,0.050745118191161356
225384,কামাল ডাঃক্তার সরকারের দালাল,কামাল ডাঃক্তার সরকারের দালাল,কামাল ডাঃক্তার সরকারের দালাল,কামাল ডাঃক্তার সরকারের দালাল,Politics,রাজনীতি (Politics),Severe,Individual,Abusive,1,train,28.0,28.0,4.0,4.0,1.0,6.25,8.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.367295829986474,1.6094379124341003,0.23908016443987667,0.11292394655704008
793524,ভারত নিয়ে এত কথা হয় ভারতে একটা মসজিদ ভাঙ্গা হয়েছে আর আফগানিস্তান পাকিস্তানে প্রতিদিন হাজার হাজার মসজিদে বিস্ফোরণ হয় সেটা কেউ দেখেনা,ভারত নিয়ে এত কথা হয় ভারতে একটা মসজিদ ভাঙ্গা হয়েছে আর আফগানিস্তান পাকিস্তানে প্রতিদিন হাজার হাজার মসজিদে বিস্ফোরণ হয় সেটা কেউ দেখেনা,ভারত নিয়ে এত কথা হয় ভারতে একটা মসজিদ ভাঙ্গা হয়েছে আর আফগানিস্তান পাকিস্তানে প্রতিদিন হাজার হাজার মসজিদে বিস্ফোরণ হয় সেটা কেউ দেখেনা,ভারত নিয়ে এত কথা হয় ভারতে একটা মসজিদ ভাঙ্গা হয়েছে আফগানিস্তান পাকিস্তানে প্রতিদিন হাজার হাজার মসজিদে বিস্ফোরণ হয় সেটা কেউ দেখেনা,International,Somoy International News,Mild,Society,Religious Hate,3,train,135.0,135.0,22.0,20.0,0.9090909090909091,5.181818181818182,11.0,2.0,4.0,1.0,0.045454545454545456,114.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.912654885736052,3.1354942159291497,0.21948869475847893,0.08716598150051387
205686,বিএনপির লজ্জা শরম শরম আছে তাই ক্ষমতা ছেড়ে দিতো আপনারা এত নির্লজ্জ বেহায়া,বিএনপির লজ্জা শরম শরম আছে তাই ক্ষমতা ছেড়ে দিতো আপনারা এত নির্লজ্জ বেহায়া,বিএনপির লজ্জা শরম শরম আছে তাই ক্ষমতা ছেড়ে দিতো আপনারা এত নির্লজ্জ বেহায়া,বিএনপির লজ্জা শরম শরম তাই ক্ষমতা ছেড়ে দিতো আপনারা এত নির্লজ্জ বেহায়া,Politics,রাজনীতি (Politics),Severe,Organization,Abusive,1,train,74.0,74.0,13.0,12.0,0.9230769230769231,4.769230769230769,8.0,1.0,1.0,1.0,0.07692307692307693,62.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.31748811353631,2.6390573296152584,0.23908016443987667,0.11292394655704008
541849,সামনে দেখবো এগুলো আর কি বলবে কত বছর লাগে এগুলো করতে এমন দেশ কোথায় আছে,সামনে দেখবো এগুলো আর কি বলবে কত বছর লাগে এগুলো করতে এমন দেশ কোথায় আছে,সামনে দেখবো এগুলো আর কি বলবে কত বছর লাগে এগুলো করতে এমন দেশ কোথায় আছে,সামনে দেখবো এগুলো বলবে কত বছর লাগে এগুলো এমন দেশ কোথায়,Disaster,সাইক্লোন সিত্রাং,Little to None,Organization,Abusive,1,train,69.0,70.0,15.0,14.0,0.9333333333333333,3.7333333333333334,6.0,3.0,0.0,4.0,0.26666666666666666,55.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.248495242049359,2.772588722239781,0.005459917780061665,0.0006423432682425488
